"companycode",birthday,gender,joinday,postal,address,email,phonenumber
C001,1990/01/01,男,2010/04/01,1234567,東京都渋谷区1-2-3 マンションA 101号室,abcdefgh@ijklmn.mm,090-1234-5678
C002,1992/05/15,女,2012/09/01,2345678,大阪府大阪市中央区4-5-6 アパートB,pqrstuvw@xyzabc.mm,08098765432
T003,1985/12/30,男,2008/01/15,3456789,愛知県名古屋市中区7-8-9 マンションC 202号室,defghijk@lmnopq.mm,03-4567-8901
C004,1995/07/20,女,2015/03/01,4567890,北海道札幌市中央区10-11-12,rstuvwxy@abcdef.mm,01123456789
C005,1988/03/10,男,2009/06/01,5678901,福岡県福岡市中央区13-14-15 マンションE 303号室,ghijklmn@opqrst.mm,092-3456-7890
C006,1991/11/25,女,2011/11/01,6789012,広島県広島市中区16-17-18 アパートF,tuvwxyz1@234567.mm,08256789012
T007,1987/08/05,男,2007/02/01,7890123,宮城県仙台市青葉区19-20-21 マンションG 404号室,ijklmnop@qrstuv.mm,022-123-4567
T008,1993/04/18,女,2013/05/01,8901234,京都府京都市中京区22-23-24,wxyzabcd@efghij.mm,07567890123
C009,1989/09/30,男,2009/10/01,9012345,兵庫県神戸市中央区25-26-27 マンションI 505号室,klmnopqr@stuvwx.mm,078-901-2345
C010,1994/02/14,女,2014/08/01,0123456,奈良県奈良市28-29-30 アパートJ,bcdefghi@jklmno.mm,07423456789
T011,1990/06/25,男,2010/12/01,1234567,東京都新宿区31-32-33 マンションK 606号室,nopqrstu@vwxyza.mm,03-9876-5432
C012,1992/10/10,女,2012/11/01,2345678,大阪府大阪市北区34-35-36,pqrstuvw@xyzabc.mm,06678901234
C013,1985/01/20,男,2008/02/01,3456789,愛知県名古屋市東区37-38-39 マンションM 707号室,rstuvwxy@abcdef.mm,052-345-6789
C014,1995/12/05,女,2015/04/01,4567890,北海道札幌市北区40-41-42 アパートN,tuvwxyz1@234567.mm,01145678901
C015,1988/04/15,男,2009/07/01,5678901,福岡県福岡市博多区43-44-45 マンションO 808号室,uvwxyz12@345678.mm,092-567-8901
C016,1991/12/30,女,2011/12/01,6789012,広島県広島市南区46-47-48,wxyzabcd@efghij.mm,08234567890
T017,1987/09/10,男,2007/03/01,7890123,宮城県仙台市宮城野区49-50-51 マンションQ -------------////////////909号室,xyzabcde@fghijk.mm,022-678-9012
T018,1993/05/25,女,2013/06/01,8901234,京都府京都市下京区52-53-54 アパートR,bcdefghi@jklmno.mm,07512345678
T019,1989/10/05,男,2009/11/01,9012345,兵庫県神戸市灘区55-56-57 マンションS 1010号室,defghijk@lmnopq.mm,078-234-5678
C020,1994/03/30,女,2014/09/01,0123456,奈良県奈良市東区58-59-60,ghijklmn@opqrst.mm,07456789012
